work_id,category,state,ida,mp_name,constituency,work_desc,recommended_date,sanction_date,sanctioned_amount,status,sanction_delay_days,ml_predicted_cost,deviation_pct,mod_z_score,agency_median_deviation
157231.0,Normal/Others,KARNATAKA,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction of bus-sheds at Sri Sairam Layout Basavanahalli ward no 22,2024-12-12,2025-05-30,500000.0,Physical Inspection,169.0,371274.4466570957,0.3467126663359991,0.0,1.6393172787569905
157234.0,Normal/Others,KARNATAKA,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),DR.K.SUDHAKAR,CHIKBALLAPUR,Installing community drinking water plants Bettahalli Grama Giddappanahalli GP Hosakote (T),2024-12-12,2025-05-30,800000.0,Physical Inspection,169.0,293455.21924664825,1.726139961162532,0.0,1.6393172787569905
157236.0,Normal/Others,KARNATAKA,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),DR.K.SUDHAKAR,CHIKBALLAPUR,"Installing community drinking water plants Valagerepura,Doddanallala GP Hosakote (T)",2024-12-12,2025-05-30,800000.0,Vendor Identification,169.0,321234.1108357993,1.4903955495838506,0.0,1.6393172787569905
157238.0,Normal/Others,KARNATAKA,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction of bus-sheds at Near Mailarapura Gate Doddanallala GP Hosakote (T),2024-12-12,2025-05-30,1000000.0,Vendor Identification,169.0,329226.6880983947,2.0374208293257614,0.0,1.6393172787569905
157242.0,Normal/Others,KARNATAKA,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction of bus-sheds at Tirumala shetty Samethanahalli GP Hosakote (T),2024-12-12,2025-05-30,1000000.0,Vendor Identification,169.0,368479.43168376014,1.7138556836958796,0.0,1.6393172787569905
157247.0,Normal/Others,KARNATAKA,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),DR.K.SUDHAKAR,CHIKBALLAPUR,Construction of bus-sheds near Halasahalli Mugabala GP Hosakote (T),2024-12-12,2025-05-30,1000000.0,Physical Inspection,169.0,1005444.9257534146,-0.005415439089649351,0.0,1.6393172787569905
157305.0,Normal/Others,KARNATAKA,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,"Construction of C.C road & drainage system at Netenahalli Grama Panchayath, Parangichikkanapalya Village, Magadi Taluk, Ramanagara District, Karnataka State.",2024-12-07,2025-01-30,500000.0,Work partially Completed,54.0,337493.61767073406,0.481509497722741,0.5198637499210003,0.42221609652796
158193.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,Construction of anganawadi building at chokkasandra ward No.39,2024-12-12,2025-06-21,2500000.0,Physical Inspection,191.0,556291.7175807649,3.494044978544982,0.08278774295599381,0.15677970483681702
158343.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,"Construction of Bus Shelter (Type-A) at Shettihallii Ward No-12, Opp Sapthagiri Hospital",2024-12-12,2025-06-21,500000.0,Work partially Completed,191.0,1074681.0936218984,-0.5347456999407181,0.08278774295599381,0.15677970483681702
158344.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,"Construction of Bus Shelter (Type-A) at  Bagalakunte Ward No- 14, Hesaraghatta Main Road, Near Krishna Bakery",2024-12-12,2025-06-21,500000.0,Work partially Completed,191.0,945177.5149318281,-0.4709988419095401,0.08278774295599381,0.15677970483681702
158345.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,"Construction of Bus Shelter (Type-A) at  Bagalakunte Ward No- 14, Hesaraghatta Main Road, 8th Mile,",2024-12-12,2025-06-21,500000.0,Work partially Completed,191.0,965290.4252333314,-0.4820211752549609,0.08278774295599381,0.15677970483681702
158346.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,"Construction of Bus Shelter (Type-A) at Chokkasandra Ward No-39, Near Park, Gruha Lakshmi Layout",2024-12-12,2025-06-21,500000.0,Work partially Completed,191.0,363492.89946342364,0.37554268800871676,0.08278774295599381,0.15677970483681702
158347.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,Construction of Bus Shelter (Type-A) at Shettihalli Ward No- 12 Near BBMP Office Abbigere,2024-12-12,2025-06-21,500000.0,Work partially Completed,191.0,1077684.7391457555,-0.5360424233191488,0.08278774295599381,0.15677970483681702
158349.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,"Foundation work for an additional building for the Government Higher Primary School at Kadu Malleshwara Ward No. 65, Maruthi Extension, Ramamohanapura",2024-12-12,2025-12-20,5000000.0,Physical Inspection,373.0,566966.5381493872,7.81886260222746,0.08278774295599381,0.15677970483681702
158354.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,Construction of Bus Shelter(Type-A) at KR Puram Ward No-87(new ward no 25) Near Gubbi Cross,2024-12-12,2025-06-21,1300000.0,Physical Inspection,191.0,1026327.5720063145,0.2666521249728266,0.08278774295599381,0.15677970483681702
158355.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,Construction of Bus Shelter (Type-A) at KR Puram Ward No-87 (new ward no 25) Near Vaddarapalya Signal or Junction,2024-12-12,2025-06-21,1200000.0,Physical Inspection,191.0,1058786.3491256582,0.1333731314074417,0.08278774295599381,0.15677970483681702
158356.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,Construction of Bus Shelter(Type-A) at KR Puram Ward No-91(new ward no 52) Near KR Pura Traffic Police Station,2024-12-12,2025-06-21,1300000.0,Physical Inspection,191.0,1035090.9033380417,0.2559283400208221,0.08278774295599381,0.15677970483681702
158357.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,Construction of Bus Shelter(Type-A) at KR Puram Ward No-91(new ward no 52) Near TC Palya Church,2024-12-12,2025-06-21,1200000.0,Physical Inspection,191.0,1044539.6874532851,0.1488314081447169,0.08278774295599381,0.15677970483681702
158359.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,"Construction of Yoga Center at Pulakeshi Nagar Ward No-78 Stephens Road,Elephants Park",2024-12-12,2025-12-01,3000000.0,Work partially Completed,354.0,371879.278450708,7.06713407775326,0.08278774295599381,0.15677970483681702
158360.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,Installing of RO Water Plant at Sagaya Puram Ward No-60 Near Sagaya Puram Park Bagalur Layout,2024-12-12,2026-07-21,2000000.0,Work partially Completed,586.0,271166.0791203365,6.37555378050236,0.08278774295599381,0.15677970483681702
158366.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,Construction of CC Road at Ward no 49(new ward no 67) Kirloskar Foundry 2nd 3rd 4th 7th Cross,2024-12-12,2025-06-12,2924594.0,Physical Inspection,182.0,493279.9740018319,4.928872352699927,0.08278774295599381,0.15677970483681702
158367.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,Improvements of Roads and Drains  of 8th Main Roads and  Cross Roads at Andanappa Layout in Ward No 53 (new ward no 102) Vrisabhavathi Nagar,2024-12-12,2025-06-12,1499917.0,Physical Inspection,182.0,453855.06805482757,2.3048369525286514,0.08278774295599381,0.15677970483681702
158368.0,Normal/Others,KARNATAKA,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,"Improvements  of Roads and Drains at  Vrisahbhavathi Nagar Ward No-53(new ward no 102), 10th Cross Road  and Cross Roads, Andanappa Layout",2024-12-12,2025-06-12,1499917.0,Physical Inspection,182.0,290681.0120639211,4.160010244047749,0.08278774295599381,0.15677970483681702
